TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_DESTINATION,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,지역,split
h001355,1,1.614650082499663,제주,-0.656134603197128,-0.45025871996076905,-1.070407947445764,-1.4497288125979144,-1.477464954104327,-1.0235969594494985,-0.8935231276475888,-1.677570957299635,4.043478260869565,제주도_및_도서지역,Training
h002006,1,0.7350715554575575,제주,-0.05578287218818784,-0.45025871996076905,-0.4438559512049019,-1.4497288125979144,-0.9181132881994429,-1.0235969594494985,-0.8935231276475888,0.60134190063052,4.595238095238095,제주도_및_도서지역,Training
h000638,0,0.7350715554575575,도서 지역,-0.656134603197128,-0.45025871996076905,-1.070407947445764,-0.18109532534784947,0.20059004361032523,0.1562224102896964,0.10933083085882095,0.60134190063052,4.636363636363637,제주도_및_도서지역,Training
h002658,0,0.7350715554575575,제주,0.5445688588207523,0.14407244407189337,0.1826960450359603,0.453221418277183,0.7599417095152093,-1.0235969594494985,0.10933083085882095,-0.5381145283345574,3.6666666666666665,제주도_및_도서지역,Training
h001245,0,-0.1445069715845479,제주,-0.656134603197128,-0.45025871996076905,-0.4438559512049019,0.453221418277183,-0.3587616222945589,-0.433687274579901,-0.3920961483943839,-1.677570957299635,4.6,제주도_및_도서지역,Training
h006439,1,0.7350715554575575,제주,-0.656134603197128,0.14407244407189337,-0.4438559512049019,0.453221418277183,0.20059004361032523,-0.433687274579901,-0.3920961483943839,0.60134190063052,4.0,제주도_및_도서지역,Training
h004530,0,-1.0240854986266534,제주,0.5445688588207523,0.7384036081045557,0.8092480412768225,0.453221418277183,0.20059004361032523,0.1562224102896964,0.10933083085882095,-0.5381145283345574,4.575757575757576,제주도_및_도서지역,Training
h001161,1,-0.1445069715845479,제주,0.5445688588207523,-1.0445898839934316,0.1826960450359603,1.0875381619022153,0.7599417095152093,0.7461320951592938,-0.3920961483943839,0.60134190063052,4.25,제주도_및_도서지역,Training
h002819,1,-1.0240854986266534,제주,0.5445688588207523,-0.45025871996076905,-0.4438559512049019,-1.4497288125979144,0.20059004361032523,-1.0235969594494985,-0.8935231276475888,0.60134190063052,4.482758620689655,제주도_및_도서지역,Training
h003386,1,-0.1445069715845479,제주,-1.2564863342060681,-1.0445898839934316,0.1826960450359603,-0.18109532534784947,0.20059004361032523,0.1562224102896964,-0.3920961483943839,-1.1078427428170963,4.863636363636363,제주도_및_도서지역,Training
h000617,0,-1.0240854986266534,제주,-0.656134603197128,-0.45025871996076905,-0.4438559512049019,-0.8154120689728819,1.3192933754200935,1.3360417800288913,-1.3949501069007937,1.1710701151130587,4.454545454545454,제주도_및_도서지역,Training
h001054,0,-1.0240854986266534,제주,0.5445688588207523,-1.0445898839934316,0.8092480412768225,-0.8154120689728819,1.8786450413249776,0.7461320951592938,0.10933083085882095,-2.2472991717821738,4.696969696969697,제주도_및_도서지역,Training
h002347,1,-1.0240854986266534,제주,-0.05578287218818784,-1.0445898839934316,-1.070407947445764,2.35617164915228,1.8786450413249776,-1.613506644319096,-1.3949501069007937,1.1710701151130587,4.371428571428571,제주도_및_도서지역,Training
h003419,1,-0.1445069715845479,제주,-1.2564863342060681,0.7384036081045557,-0.4438559512049019,0.453221418277183,0.20059004361032523,-1.0235969594494985,1.1121847893652306,1.1710701151130587,4.333333333333333,제주도_및_도서지역,Training
h001705,1,2.4942286095417687,제주,-0.656134603197128,-0.45025871996076905,-0.4438559512049019,-0.8154120689728819,-0.9181132881994429,0.1562224102896964,0.6107578101120258,-1.677570957299635,4.166666666666667,제주도_및_도서지역,Training
