TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
g005076,45,여,30,6,1,2,4,3,,1,7,2,1,42,42150,50,50130,28,28710,1,4,3,4,4,6,4,6,전라북도,전남,3대 동반 여행(친척 포함),2023-08-15~2023-08-17,3,2,1,4
g004492,44,남,30,6,2,1,3,12,,1,6,3,3,50,50110,26,26350,42,42150,3,2,2,5,3,4,5,2,충청남도,전북,2인 가족 여행,2023-08-02~2023-08-03,3,1,2,1
e013143,28,여,30,5,1,2,4,2,,4,7,2,2,41,41820,42,42210,45,45730,2,2,2,2,1,7,1,7,인천광역시,충남,자녀 동반 여행,2023-09-23~2023-09-23,8,1,7,3
g000727,27,남,40,7,1,2,4,2,,5,8,2,3,47,47250,42,42750,43,43800,2,1,4,7,6,3,5,2,대구광역시,광주,3인 이상 여행(가족 외),2023-05-20~2023-05-21,3,7,1,2
g005081,28,여,20,6,2,1,1,12,,1,,2,1,42,42210,50,50130,11,11170,6,1,1,6,7,1,1,5,인천광역시,전북,2인 여행(가족 외),2023-08-06~2023-08-07,1,2,5,1
g000794,43,여,50,6,1,2,4,3,,6,9,2,1,42,42150,45,45730,48,48220,2,3,6,6,2,5,6,4,서울특별시,충북,3인 이상 여행(가족 외),2023-05-25~2023-05-26,1,4,3,20
g000204,36,남,40,6,1,4,3,2,,4,5,2,2,30,30170,11,11680,43,43110,1,1,1,3,2,5,4,6,세종특별자치시,전남,2인 여행(가족 외),2023-05-27~2023-05-29,1,3,7,1
g011791,28,여,40,5,1,4,3,13,,2,6,3,1,26,26350,42,42210,42,42230,4,1,4,3,4,3,5,3,인천광역시,충북,2인 가족 여행,2023-09-07~2023-09-07,3,1,10,1
g009232,28,여,20,4,1,1,4,12,,3,10,2,1,41,41820,26,26350,42,42210,2,2,2,5,4,4,6,5,인천광역시,대전,나홀로 여행,2023-09-02~2023-09-02,7,1,4,0
g001718,29,남,40,6,1,1,1,3,,4,,3,4,46,46130,11,11170,50,50110,6,6,3,2,2,6,6,5,광주광역시,전남,2인 여행(가족 외),2023-06-09~2023-06-10,2,3,1,1
g003380,36,남,40,6,1,2,4,3,,5,7,2,2,44,44150,47,47290,50,50130,1,6,1,4,6,6,2,6,세종특별자치시,충남,2인 여행(가족 외),2023-07-01~2023-07-01,2,1,3,1
e000191,11,남,30,4,1,2,2,13,,4,5,3,10,42,42230,50,50110,42,42170,1,1,1,4,4,3,4,4,서울특별시,경기,자녀 동반 여행,2023-04-28~2023-04-30,3,6,2,4
g000954,41,여,40,6,1,2,4,3,,4,12,3,4,42,42210,43,43130,50,50110,3,2,4,2,2,5,2,3,경기도,전남,부모 동반 여행,2023-05-27~2023-05-29,6,3,1,6
g000808,48,여,50,4,1,2,4,11,,1,4,4,3,50,50130,48,48310,41,41650,4,2,3,2,2,4,5,4,경상남도,전북,2인 여행(가족 외),2023-05-22~2023-05-24,1,9,2,1
g004453,27,남,20,4,1,1,4,12,,1,6,1,1,26,26350,47,47130,47,47110,3,5,2,4,4,5,3,6,대구광역시,대전,2인 여행(가족 외),2023-07-26~2023-07-26,5,7,3,1
g007338,47,여,40,6,1,2,2,11,,1,4,3,5,50,50110,26,26350,11,11440,3,2,3,4,5,5,3,6,경상북도,대전,2인 가족 여행,2023-08-29~2023-08-29,1,10,5,1
g001832,44,여,40,6,1,2,3,11,,1,6,2,1,44,44825,44,44270,46,46130,1,1,1,1,1,1,6,7,충청남도,충북,자녀 동반 여행,2023-06-04~2023-06-05,3,1,2,2
g001818,26,여,20,6,1,1,4,2,,3,6,3,4,11,11110,47,47130,46,46230,6,6,3,5,6,2,3,1,부산광역시,전남,3인 이상 여행(가족 외),2023-06-03~2023-06-04,1,3,2,3
g006910,30,여,20,6,2,1,2,12,,1,5,2,1,42,42150,11,11650,50,50130,3,3,3,6,5,3,2,6,대전광역시,충북,부모 동반 여행,2023-08-16~2023-08-16,8,7,5,2
g007454,11,여,20,6,1,1,1,2,,4,,3,2,29,29155,50,50110,26,26500,2,2,2,2,6,5,5,6,서울특별시,광주,나홀로 여행,2023-08-26~2023-08-27,2,1,7,0
g002190,11,여,20,4,1,1,4,12,,2,5,3,4,50,50130,50,50110,26,26350,3,3,2,4,6,3,7,2,서울특별시,충남,2인 여행(가족 외),2023-06-30~2023-07-01,8,7,1,1
g001136,43,남,40,5,1,1,1,4,,5,,3,3,50,50130,42,42150,26,26350,2,2,2,5,6,2,2,2,충청북도,충북,3인 이상 여행(가족 외),2023-05-27~2023-05-27,6,1,3,2
g010878,11,남,20,4,1,1,3,12,,2,5,3,2,42,42110,41,41460,26,26350,5,2,2,5,6,2,5,3,서울특별시,충남,2인 여행(가족 외),2023-09-01~2023-09-01,7,1,2,1
g003984,41,여,20,6,1,1,4,2,,4,6,2,1,11,11200,44,44150,50,50130,2,2,1,1,1,1,4,3,경기도,대전,나홀로 여행,2023-07-30~2023-07-30,2,7,1,0
g012161,44,남,30,6,1,2,4,2,,5,8,2,1,42,42150,50,50130,47,47130,6,5,5,5,5,5,5,6,충청남도,충남,자녀 동반 여행,2023-09-09~2023-09-09,4,1,7,3
e011214,11,여,20,4,1,1,3,12,,1,5,3,4,41,41820,26,26350,41,41110,3,3,3,6,6,5,6,5,서울특별시,충남,2인 여행(가족 외),2023-08-25~2023-08-25,3,7,1,1
g013062,44,여,60,5,1,2,1,11,,1,,2,3,29,29155,27,27140,30,30200,4,4,4,4,4,4,4,4,충청남도,충남,3대 동반 여행(친척 포함),2023-09-29~2023-09-29,7,2,8,2
g012770,30,남,40,6,1,2,3,3,,5,8,2,2,45,45130,26,26350,42,42820,3,2,2,4,3,2,2,5,대전광역시,충남,3대 동반 여행(친척 포함),2023-09-28~2023-09-28,3,1,5,2
g002949,30,남,50,6,1,2,4,3,,8,8,3,6,42,42210,42,42760,48,48840,2,1,4,2,4,3,2,5,대전광역시,전남,자녀 동반 여행,2023-07-08~2023-07-09,1,3,10,3
g001036,11,여,20,6,1,2,2,2,,5,9,2,1,50,50110,42,42750,46,46130,5,2,5,1,5,7,2,4,서울특별시,충북,3인 이상 여행(가족 외),2023-05-27~2023-05-29,3,2,1,4
g012796,45,여,20,6,1,1,3,3,,4,12,2,1,45,45110,11,11440,27,27110,3,2,2,3,4,5,5,6,전라북도,전북,2인 여행(가족 외),2023-09-24~2023-09-24,2,1,5,1
g011166,29,여,30,6,1,1,6,12,,1,10,3,4,50,50130,26,26350,41,41460,5,2,1,7,5,5,2,7,광주광역시,전남,2인 여행(가족 외),2023-09-02~2023-09-02,3,1,7,1
g011840,11,여,20,5,1,2,2,3,,4,10,2,1,45,45110,44,44180,50,50110,3,1,1,1,1,4,1,7,서울특별시,충남,2인 여행(가족 외),2023-09-09~2023-09-09,2,1,3,1
g004578,29,남,50,6,1,2,6,2,,7,10,3,2,46,46130,46,46860,46,46810,6,7,7,7,2,7,7,3,광주광역시,전북,부모 동반 여행,2023-08-02~2023-08-03,3,2,1,5
g000378,41,남,30,6,1,1,1,3,,6,,3,5,41,41460,47,47130,11,11170,2,5,2,4,6,2,4,5,경기도,광주,2인 여행(가족 외),2023-05-18~2023-05-20,6,3,2,1
